FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.122,122,Big Creek 8,Southern California Edison Co,Electric Utility,Auberry,Fresno,California,93605,hydroelectric,70.8,Conventional Hydroelectric
powerplant_hydro_2020.123,123,Big Creek 2A,Southern California Edison Co,Electric Utility,Auberry,Fresno,California,93605,hydroelectric,100,Conventional Hydroelectric
powerplant_hydro_2020.124,124,Bishop Creek 2,Southern California Edison Co,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,7.3,Conventional Hydroelectric
powerplant_hydro_2020.125,125,Bishop Creek 3,Southern California Edison Co,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,8.4,Conventional Hydroelectric
powerplant_hydro_2020.126,126,Bishop Creek 4,Southern California Edison Co,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,8.2,Conventional Hydroelectric
powerplant_hydro_2020.127,127,Bishop Creek 5,Southern California Edison Co,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,3.8,Conventional Hydroelectric
powerplant_hydro_2020.128,128,Bishop Creek 6,Southern California Edison Co,Electric Utility,Bishop,Inyo,California,93514,hydroelectric,1.6,Conventional Hydroelectric
powerplant_hydro_2020.129,129,Borel,Southern California Edison Co,Electric Utility,Lake Isabella,Kern,California,93240,hydroelectric,10.6,Conventional Hydroelectric
powerplant_hydro_2020.130,130,Fontana,Southern California Edison Co,Electric Utility,Rialto,San Bernardino,California,92336,hydroelectric,3,Conventional Hydroelectric
powerplant_hydro_2020.131,131,Kaweah 2,Southern California Edison Co,Electric Utility,Three Rivers,Tulare,California,93271,hydroelectric,1.8,Conventional Hydroelectric
powerplant_hydro_2020.132,132,Kaweah 1,Southern California Edison Co,Electric Utility,Three Rivers,Tulare,California,93271,hydroelectric,2.3,Conventional Hydroelectric
powerplant_hydro_2020.133,133,Kaweah 3,Southern California Edison Co,Electric Utility,Three Rivers,Tulare,California,93271,hydroelectric,4.5,Conventional Hydroelectric
powerplant_hydro_2020.134,134,Kern River 3,Southern California Edison Co,Electric Utility,Kernville,Kern,California,93238,hydroelectric,40.2,Conventional Hydroelectric
powerplant_hydro_2020.135,135,Kern River 1,Southern California Edison Co,Electric Utility,Bakersfield,Kern,California,93301,hydroelectric,26.4,Conventional Hydroelectric
powerplant_hydro_2020.136,136,Lundy,Southern California Edison Co,Electric Utility,Lee Vining,Mono,California,93541,hydroelectric,3,Conventional Hydroelectric
powerplant_hydro_2020.137,137,Mammoth Pool,Southern California Edison Co,Electric Utility,North Fork,Madera,California,93643,hydroelectric,160,Conventional Hydroelectric
powerplant_hydro_2020.138,138,Poole,Southern California Edison Co,Electric Utility,Lee Vining,Mono,California,93541,hydroelectric,11.3,Conventional Hydroelectric
powerplant_hydro_2020.139,139,Portal,Southern California Edison Co,Electric Utility,Lakeshore,Fresno,California,93634,hydroelectric,10.8,Conventional Hydroelectric
powerplant_hydro_2020.140,140,Rush Creek,Southern California Edison Co,Electric Utility,June lake,Mono,California,93529,hydroelectric,11.4,Conventional Hydroelectric
powerplant_hydro_2020.141,141,Santa Ana 1,Southern California Edison Co,Electric Utility,Highlands,San Bernardino,California,92346,hydroelectric,3.2,Conventional Hydroelectric
powerplant_hydro_2020.142,142,Santa Ana 3,Southern California Edison Co,Electric Utility,Highlands,San Bernardino,California,92346,hydroelectric,3.1,Conventional Hydroelectric
powerplant_hydro_2020.143,143,Lower Tule River,Southern California Edison Co,Electric Utility,Springdale,Tulare,California,93265,hydroelectric,2.6,Conventional Hydroelectric
