FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_solar_2020.1698,1698,Annandale Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Annandale,Wright,Minnesota,55302,solar,6,Solar Photovoltaic
powerplant_solar_2020.1699,1699,Atwater Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Atwater,Kandiyohi,Minnesota,56209,solar,4,Solar Photovoltaic
powerplant_solar_2020.1700,1700,Chisago Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,North Branch,Chisago,Minnesota,55056,solar,6.5,Solar Photovoltaic
powerplant_solar_2020.1701,1701,Dodge Center Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Dodge Center,Dodge,Minnesota,55927,solar,6.5,Solar Photovoltaic
powerplant_solar_2020.1702,1702,Eastwood Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Mankato,Blue Earth,Minnesota,56001,solar,5.5,Solar Photovoltaic
powerplant_solar_2020.1703,1703,Hastings Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Hastings,Dakota,Minnesota,55033,solar,4.5,Solar Photovoltaic
powerplant_solar_2020.1704,1704,Lake Emily Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,St. Peter,Nicollet,Minnesota,56082,solar,4.5,Solar Photovoltaic
powerplant_solar_2020.1705,1705,Lake Pulaski Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Buffalo,Wright,Minnesota,55074,solar,7.5,Solar Photovoltaic
powerplant_solar_2020.1706,1706,Lawrence Creek Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Shafer,Chisago,Minnesota,55074,solar,3.5,Solar Photovoltaic
powerplant_solar_2020.1707,1707,Montrose Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Montrose,Wright,Minnesota,55363,solar,3.5,Solar Photovoltaic
powerplant_solar_2020.1708,1708,Paynesville Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Paynesville,Stearns,Minnesota,56362,solar,10,Solar Photovoltaic
powerplant_solar_2020.1709,1709,Pine Island Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Pine Island,Goodhue,Minnesota,55963,solar,4,Solar Photovoltaic
powerplant_solar_2020.1710,1710,Waseca Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Waseca,Waseca,Minnesota,55963,solar,10,Solar Photovoltaic
powerplant_solar_2020.1711,1711,West Faribault Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Faribault,Rice,Minnesota,55021,solar,5.5,Solar Photovoltaic
powerplant_solar_2020.1712,1712,West Waconia Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Norwood Young America,Carver,Minnesota,55397,solar,8.5,Solar Photovoltaic
powerplant_solar_2020.1713,1713,"Saluda Solar, LLC",Cypress Creek Renewables,IPP Non-CHP,Saluda,Saluda,South Carolina,29138,solar,6.8,Solar Photovoltaic
powerplant_solar_2020.1714,1714,Limerick Road Solar Farm,"Limerick Road Solar, LLC",IPP Non-CHP,Shelburne,Chittenden,Vermont,5482,solar,2.2,Solar Photovoltaic
powerplant_solar_2020.1715,1715,"Langdon Solar Farm, LLC","Langdon Solar Farm, LLC",IPP Non-CHP,Four Oaks,Johnston,North Carolina,27524,solar,5,Solar Photovoltaic
powerplant_solar_2020.1716,1716,Innovative Solar 42,"Innovative Solar 42, LLC",IPP Non-CHP,Fayetteville,Bladen,North Carolina,28306,solar,71,Solar Photovoltaic
