FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_wind_2020.843,843,Little Elk Wind Project LLC,"Enel Green Power NA, Inc.",IPP Non-CHP,Cordell,Washita,Oklahoma,73632,wind,74,Onshore Wind Turbine
powerplant_wind_2020.844,844,Two Dot Wind Farm,NorthWestern Energy,Electric Utility,Two Dot,Wheatland,Montana,59085,wind,9.7,Onshore Wind Turbine
powerplant_wind_2020.845,845,Mariah del Norte,Mariah Holdings II LLC c/o CAMS,IPP Non-CHP,Friona,Parmer,Texas,79035,wind,230.4,Onshore Wind Turbine
powerplant_wind_2020.846,846,Hoopeston Wind LLC,Hoopeston Wind LLC,IPP Non-CHP,Rossville,Vermilion,Illinois,60963,wind,98,Onshore Wind Turbine
powerplant_wind_2020.847,847,Kingston Wind Independence,Kingston Wind Independence,IPP Non-CHP,Kingston,Plymouth,Massachusetts,2364,wind,2,Onshore Wind Turbine
powerplant_wind_2020.848,848,Ipswich Wind Independence,Ipswich Wind Independence,IPP Non-CHP,Ipswich,Essex,Massachusetts,1938,wind,2,Onshore Wind Turbine
powerplant_wind_2020.849,849,"Euclid Farm, Stamco N-54",Case Western Reserve University,IPP Non-CHP,Euclid,Cuyahoga,Ohio,44106,wind,1,Onshore Wind Turbine
powerplant_wind_2020.850,850,Shannon Wind,Shannon Wind LLC,IPP Non-CHP,Windhorst,Clay,Texas,76389,wind,204,Onshore Wind Turbine
powerplant_wind_2020.851,851,Michelangelo Wind 3 LLC,Michelangelo Wind 3 LLC,IPP Non-CHP,Huxley,Story,Iowa,50014,wind,3,Onshore Wind Turbine
powerplant_wind_2020.852,852,Radfords Run Wind Farm,RWE Renewables Americas LLC,IPP Non-CHP,Maroa,Dewitt,Illinois,61756,wind,278,Onshore Wind Turbine
powerplant_wind_2020.853,853,Stella Wind Farm,RWE Renewables Americas LLC,IPP Non-CHP,Armstrong,Kenedy,Texas,78338,wind,201,Onshore Wind Turbine
powerplant_wind_2020.854,854,Drift Sand Wind Project LLC,"Enel Green Power NA, Inc.",IPP Non-CHP,Rush Springs,Grady,Oklahoma,73082,wind,108,Onshore Wind Turbine
powerplant_wind_2020.855,855,Bruennings Breeze Wind Farm,RWE Renewables Americas LLC,IPP Non-CHP,Raymondville,Willacy,Texas,78580,wind,228,Onshore Wind Turbine
powerplant_wind_2020.856,856,"Colbeck's Corner, LLC",RWE Renewables Americas LLC,IPP Non-CHP,Groom,Carson,Texas,79068,wind,200,Onshore Wind Turbine
powerplant_wind_2020.857,857,Jericho Power,Jericho Power LLC,IPP Non-CHP,Berlin,Coos,New Hampshire,3570,wind,12.1,Onshore Wind Turbine
powerplant_wind_2020.858,858,Carroll Area Wind Farm,SRIV Partnership LLC,IPP Non-CHP,Templeton,Carroll,Iowa,51463,wind,20.7,Onshore Wind Turbine
powerplant_wind_2020.859,859,Chopin Wind LLC,BayWa r.e Wind LLC,IPP Non-CHP,Milton-Freewater,Umatilla,Oregon,97862,wind,10,Onshore Wind Turbine
powerplant_wind_2020.860,860,Limon III Wind LLC,Limon,IPP Non-CHP,Limon,Lincoln,Colorado,80858,wind,200.6,Onshore Wind Turbine
powerplant_wind_2020.861,861,Marshall Wind Farm,"BHE Renewables, LLC",IPP Non-CHP,Frankfort,Marshall,Kansas,66427,wind,72,Onshore Wind Turbine
powerplant_wind_2020.862,862,Cameron Wind 1 LLC,Cameron Wind 1 LLC,IPP Non-CHP,Rio Hondo,Cameron,Texas,78583,wind,165,Onshore Wind Turbine
powerplant_wind_2020.863,863,Fair Wind,"Fair Wind Power Partners, LLC",IPP Non-CHP,Oakland,Garrett,Maryland,21550,wind,30,Onshore Wind Turbine
powerplant_wind_2020.864,864,Beethoven Wind,NorthWestern Energy - (SD),Electric Utility,Tripp,Bon Homme,South Dakota,57376,wind,80,Onshore Wind Turbine
powerplant_wind_2020.865,865,Chapman Ranch Wind I,Chapman Ranch Wind LLC,IPP Non-CHP,Corpus Christi,Nueces,Texas,78415,wind,249,Onshore Wind Turbine
powerplant_wind_2020.866,866,Border Winds Wind Farm,Northern States Power Co - Minnesota,Electric Utility,Rolla,Rolette,North Dakota,58367,wind,148,Onshore Wind Turbine
powerplant_wind_2020.867,867,Pleasant Valley Wind Farm,Northern States Power Co - Minnesota,Electric Utility,Dexter,Mower,Minnesota,55926,wind,196,Onshore Wind Turbine
powerplant_wind_2020.868,868,Passadumkeag Windpark LLC,Southern Power Co,IPP Non-CHP,Greenbush,Penobscot,Maine,4418,wind,39.9,Onshore Wind Turbine
powerplant_wind_2020.869,869,Optimum Wind 5 LLC,Optimum Wind 5 LLC,IPP Non-CHP,Nevada,Story,Iowa,50201,wind,3,Onshore Wind Turbine
powerplant_wind_2020.870,870,Optimum Wind 6 LLC,Optimum Wind 6 LLC,IPP Non-CHP,Nevada,Story,Iowa,50201,wind,3,Onshore Wind Turbine
powerplant_wind_2020.871,871,Optimum Wind 7 LLC,Optimum Wind 7 LLC,IPP Non-CHP,Nevada,Story,Iowa,50201,wind,3,Onshore Wind Turbine
powerplant_wind_2020.872,872,Optimum Wind 4 LLC,Optimum Wind 4 LLC,IPP Non-CHP,Nevada,Story,Iowa,50201,wind,3,Onshore Wind Turbine
powerplant_wind_2020.873,873,Optimum Wind 3 LLC,Optimum Wind 3 LLC,IPP Non-CHP,Nevada,Story,Iowa,50201,wind,3,Onshore Wind Turbine
powerplant_wind_2020.874,874,Leonardo Wind 1 LLC,Leonardo Wind 1 LLC,IPP Non-CHP,Alden,Hardin,Iowa,50441,wind,3,Onshore Wind Turbine
powerplant_wind_2020.875,875,Venus Wind 3 LLC,Venus Wind 3 LLC,IPP Non-CHP,Grinnell,Poweshiek,Iowa,50112,wind,3,Onshore Wind Turbine
powerplant_wind_2020.876,876,Michelangelo Wind 1 LLC,Michelangelo Wind 1 LLC,IPP Non-CHP,Huxley,Story,Iowa,50124,wind,3,Onshore Wind Turbine
powerplant_wind_2020.877,877,Michelangelo Wind 4 LLC,Michelangelo Wind 4 LLC,IPP Non-CHP,Ames,Boone,Iowa,50011,wind,3,Onshore Wind Turbine
powerplant_wind_2020.878,878,Arbuckle Mountain Wind Farm LLC,Arbuckle Mountain Wind Farm LLC,IPP Non-CHP,Davis,Murray,Oklahoma,73030,wind,100,Onshore Wind Turbine
powerplant_wind_2020.879,879,Rising Tree Wind Farm II,Rising Tree Wind Farm II LLC,IPP Non-CHP,Mojave,Kern,California,93501,wind,19.8,Onshore Wind Turbine
powerplant_wind_2020.880,880,Rising Tree Wind Farm III,Rising Tree Wind Farm III LLC,IPP Non-CHP,Mojave,Kern,California,93501,wind,99,Onshore Wind Turbine
powerplant_wind_2020.881,881,Windthorst-2,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Archer,Archer,Texas,76389,wind,67.6,Onshore Wind Turbine
powerplant_wind_2020.882,882,Lorenzo Wind,"Lorenzo Wind, LLC",IPP Non-CHP,Lorenzo,Crosby,Texas,79343,wind,80,Onshore Wind Turbine
powerplant_wind_2020.883,883,Fluvanna,Fluvanna Wind Energy LLC,IPP Non-CHP,Fluvanna,Scurry,Texas,79517,wind,155.4,Onshore Wind Turbine
powerplant_wind_2020.884,884,Hale Community Wind Farm,Hale Wind Energy,IPP Non-CHP,Plainview,Hale,Texas,79072,wind,478,Onshore Wind Turbine
powerplant_wind_2020.885,885,Mammoth Plains,Mammoth Plains Wind Project,IPP Non-CHP,Oakwood,Dewey,Oklahoma,73658,wind,199,Onshore Wind Turbine
powerplant_wind_2020.886,886,Rattlesnake Creek Wind Project,"Rattlesnake Creek Wind Project, LLC",IPP Non-CHP,Dixon,Dixon,Nebraska,68710,wind,318.1,Onshore Wind Turbine
powerplant_wind_2020.887,887,WED NK Green,WED NK Green LLC,IPP Non-CHP,North Kingstown,Washington,Rhode Island,2852,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.888,888,Northwest Ohio Wind,"Northwest Ohio Wind, LLC",IPP Non-CHP,Grover Hill,Paulding,Ohio,45849,wind,105,Onshore Wind Turbine
powerplant_wind_2020.889,889,WED Coventry 1,"WED Coventry One, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.890,890,WED Coventry 2,"WED Coventry Two, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,4.5,Onshore Wind Turbine
powerplant_wind_2020.891,891,WED Coventry 3,"WED Coventry Three, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.892,892,WED Coventry 4,"WED Coventry Four, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.893,893,Seiling Wind I,NextEra Energy Seiling Wind,IPP Non-CHP,Seiling,Dewey,Oklahoma,73663,wind,199,Onshore Wind Turbine
powerplant_wind_2020.894,894,Seiling Wind II,NextEra Energy Seiling Wind,IPP Non-CHP,Seiling,Dewey,Oklahoma,73663,wind,98.6,Onshore Wind Turbine
powerplant_wind_2020.895,895,WED Coventry 5,"WED Coventry Five, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.896,896,WED Coventry 6,"WED Coventry Six, LLC",IPP Non-CHP,Coventry,Kent,Rhode Island,2816,wind,4.5,Onshore Wind Turbine
powerplant_wind_2020.897,897,Los Vientos Windpower III,"Los Vientos Windpower III, LLC",IPP Non-CHP,Rio Grande City,Starr,Texas,78582,wind,200,Onshore Wind Turbine
powerplant_wind_2020.898,898,Los Vientos Windpower IV,"Los Vientos Windpower IV, LLC",IPP Non-CHP,Rio Grande City,Starr,Texas,78582,wind,200,Onshore Wind Turbine
powerplant_wind_2020.899,899,Golden Acorn Casino,"Foundation CA Fund VII Manager, LLC",Commercial Non-CHP,Campo,San Diego,California,91906,wind,1,Onshore Wind Turbine
powerplant_wind_2020.900,900,City of Soledad Water Reclamation,"Foundation CA Fund VII Manager, LLC",IPP Non-CHP,Soledad,Monterey,California,93960,wind,1,Onshore Wind Turbine
powerplant_wind_2020.901,901,Taylor Farms,"Foundation CA Fund VII Manager, LLC",IPP Non-CHP,Gonzales,Monterey,California,93926,wind,1,Onshore Wind Turbine
powerplant_wind_2020.902,902,Anheuser-Busch #2,"Foundation CA Fund VII Manager, LLC",Industrial Non-CHP,Fairfield,Solano,California,94533,wind,1.6,Onshore Wind Turbine
powerplant_wind_2020.903,903,Mesquite Creek Wind,"Mesquite Creek Wind, LLC",IPP Non-CHP,Lamesa,Dawson,Texas,79331,wind,211.2,Onshore Wind Turbine
