FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_coal_2020.177,177,Scherer,Georgia Power Co,Electric Utility,Juliette,Monroe,Georgia,31046,coal,3440,Conventional Steam Coal
powerplant_coal_2020.178,178,Mountaineer,Appalachian Power Co,Electric Utility,New Haven,Mason,West Virginia,25265,coal,1299,Conventional Steam Coal
powerplant_coal_2020.179,179,Healy,Golden Valley Elec Assn Inc,Electric Utility,Healy,Denali,Alaska,99743,coal,77.8,Conventional Steam Coal; Petroleum Liquids;
powerplant_coal_2020.180,180,Antelope Valley,Basin Electric Power Coop,Electric Utility,Beulah,Mercer,North Dakota,58523,coal,900,Conventional Steam Coal
powerplant_coal_2020.181,181,Intermountain Power Project,Los Angeles Department of Water & Power,Electric Utility,Delta,Millard,Utah,84624,coal,1800,Conventional Steam Coal
powerplant_coal_2020.182,182,R D Green,Big Rivers Electric Corp,Electric Utility,Robards,Webster,Kentucky,42452,coal,454,Conventional Steam Coal
powerplant_coal_2020.183,183,Independence Steam Electric Station,Entergy Arkansas LLC,Electric Utility,Newark,Independence,Arkansas,72562,coal,1667.8,Conventional Steam Coal
powerplant_coal_2020.184,184,Louisa,MidAmerican Energy Co,Electric Utility,Muscatine,Louisa,Iowa,52761,coal,748.8,Conventional Steam Coal
powerplant_coal_2020.185,185,Warrick,AGC Division of APG Inc,IPP CHP,Newburgh,Warrick,Indiana,47630,coal,708.9,Conventional Steam Coal
powerplant_coal_2020.186,186,Sikeston Power Station,City of Sikeston - (MO),Electric Utility,Sikeston,Scott,Missouri,63801,coal,240,Conventional Steam Coal
powerplant_coal_2020.187,187,Hugo,"Western Farmers Elec Coop, Inc",Electric Utility,Fort Towson,Choctaw,Oklahoma,74735,coal,440,Conventional Steam Coal
powerplant_coal_2020.188,188,D B Wilson,Big Rivers Electric Corp,Electric Utility,Centertown,Ohio,Kentucky,42328,coal,417,Conventional Steam Coal
powerplant_coal_2020.189,189,Major Oak Power,"Major Oak Power, LLC",IPP Non-CHP,Bremond,Robertson,Texas,76629,coal,305,Conventional Steam Coal
